Widerrufsverfahren,,,,,,,,,
Jan. – Dez. 2017,"eingelegteBerufungen",Gerichtsentscheidungen,"anhaengigeRechts-mittel",,,,,,
"",,"Widerruf Art. 16a GG/Fluechtlingseigenschaft /subs. Schutz","keinWiderruf","sonst. Verfahrenserledigungen(z. B. Ruecknahmen)",,,,,
"",,absolut,Anteil,absolut,Anteil,absolut,Anteil,,
Herkunftslaender gesamt,1,1,0,"0,0%",0,"0,0%",1,"100,0%",12
darunter,,,,,,,,,
Afghanistan,0,0,0,,0,,0,,4
Irak,1,0,0,,0,,0,,4
Serbien,0,1,0,"0,0%",0,"0,0%",1,"100,0%",0
Togo,0,0,0,,0,,0,,3
